"delta","ngen","ordering","kval","dataset"
119380211.2,19,6,20,"Pangenome"
119537139.2,20,6,20,"Pangenome"
119666368,21,6,20,"Pangenome"
119867852.8,22,6,20,"Pangenome"
120014144,23,6,20,"Pangenome"
120178624,24,6,20,"Pangenome"
120301171.2,25,6,20,"Pangenome"
120416358.4,26,6,20,"Pangenome"
120518438.4,27,6,20,"Pangenome"
120618636.8,28,6,20,"Pangenome"
120802342.4,29,6,20,"Pangenome"
120966182.4,30,6,20,"Pangenome"
121134515.2,31,6,20,"Pangenome"
121223897.6,32,6,20,"Pangenome"
121400371.2,33,6,20,"Pangenome"
121563545.6,34,6,20,"Pangenome"
121644006.4,35,6,20,"Pangenome"
121786700.8,36,6,20,"Pangenome"
121917696,37,6,20,"Pangenome"
122037888,38,6,20,"Pangenome"
122163891.2,39,6,20,"Pangenome"
122277760,40,6,20,"Pangenome"
122408320,41,6,20,"Pangenome"
122488256,42,6,20,"Pangenome"
122546304,43,6,20,"Pangenome"
122613568,44,6,20,"Pangenome"
122687961.6,45,6,20,"Pangenome"
122801113.6,46,6,20,"Pangenome"
122880345.6,47,6,20,"Pangenome"
122992768,48,6,20,"Pangenome"
123063436.8,49,6,20,"Pangenome"
123188915.2,50,6,20,"Pangenome"
123249702.4,51,6,20,"Pangenome"
123333900.8,52,6,20,"Pangenome"
123404953.6,53,6,20,"Pangenome"
123517785.6,54,6,20,"Pangenome"
123567897.6,55,6,20,"Pangenome"
123683660.8,56,6,20,"Pangenome"
109279987.2,1,7,20,"Pangenome"
111802393.6,2,7,20,"Pangenome"
113084838.4,3,7,20,"Pangenome"
113997849.6,4,7,20,"Pangenome"
114742336,5,7,20,"Pangenome"
115338419.2,6,7,20,"Pangenome"
115841971.2,7,7,20,"Pangenome"
116280550.4,8,7,20,"Pangenome"
116675328,9,7,20,"Pangenome"
117055462.4,10,7,20,"Pangenome"
117326604.8,11,7,20,"Pangenome"
117619276.8,12,7,20,"Pangenome"
117903027.2,13,7,20,"Pangenome"
118112371.2,14,7,20,"Pangenome"
118309107.2,15,7,20,"Pangenome"
118569484.8,16,7,20,"Pangenome"
118811737.6,17,7,20,"Pangenome"
119047897.6,18,7,20,"Pangenome"
119203264,19,7,20,"Pangenome"
119417932.8,20,7,20,"Pangenome"
119561433.6,21,7,20,"Pangenome"
119787788.8,22,7,20,"Pangenome"
119980364.8,23,7,20,"Pangenome"
120092454.4,24,7,20,"Pangenome"
120179302.4,25,7,20,"Pangenome"
120300211.2,26,7,20,"Pangenome"
120396364.8,27,7,20,"Pangenome"
120496268.8,28,7,20,"Pangenome"
120666022.4,29,7,20,"Pangenome"
120757580.8,30,7,20,"Pangenome"
120849011.2,31,7,20,"Pangenome"
120924313.6,32,7,20,"Pangenome"
121104819.2,33,7,20,"Pangenome"
121271257.6,34,7,20,"Pangenome"
121357081.6,35,7,20,"Pangenome"
121414976,36,7,20,"Pangenome"
121497651.2,37,7,20,"Pangenome"
121672192,38,7,20,"Pangenome"
121812851.2,39,7,20,"Pangenome"
121972672,40,7,20,"Pangenome"
122112486.4,41,7,20,"Pangenome"
122185587.2,42,7,20,"Pangenome"
122315724.8,43,7,20,"Pangenome"
122453632,44,7,20,"Pangenome"
122573017.6,45,7,20,"Pangenome"
122689152,46,7,20,"Pangenome"
122759628.8,47,7,20,"Pangenome"
122880729.6,48,7,20,"Pangenome"
122956915.2,49,7,20,"Pangenome"
123076364.8,50,7,20,"Pangenome"
