"ordering","ngen","delta","kval","dataset"
12,39,121870041.6,20,"Pangenome"
12,40,122007155.2,20,"Pangenome"
12,41,122137177.6,20,"Pangenome"
12,42,122209113.6,20,"Pangenome"
12,43,122289996.8,20,"Pangenome"
12,44,122427635.2,20,"Pangenome"
12,45,122563276.8,20,"Pangenome"
12,46,122687065.6,20,"Pangenome"
12,47,122806694.4,20,"Pangenome"
12,48,122883404.8,20,"Pangenome"
12,49,123013452.8,20,"Pangenome"
12,50,123067289.6,20,"Pangenome"
12,51,123112908.8,20,"Pangenome"
12,52,123232896,20,"Pangenome"
12,53,123341427.2,20,"Pangenome"
12,54,123456000,20,"Pangenome"
12,55,123576345.6,20,"Pangenome"
12,56,123683660.8,20,"Pangenome"
13,1,109299571.2,20,"Pangenome"
13,2,111796364.8,20,"Pangenome"
13,3,113095116.8,20,"Pangenome"
13,4,113810675.2,20,"Pangenome"
13,5,114550617.6,20,"Pangenome"
13,6,114909056,20,"Pangenome"
13,7,115293427.2,20,"Pangenome"
13,8,115578060.8,20,"Pangenome"
13,9,116072358.4,20,"Pangenome"
13,10,116490329.6,20,"Pangenome"
13,11,116866816,20,"Pangenome"
13,12,117217484.8,20,"Pangenome"
13,13,117394406.4,20,"Pangenome"
13,14,117518707.2,20,"Pangenome"
13,15,117861952,20,"Pangenome"
13,16,118029132.8,20,"Pangenome"
13,17,118299264,20,"Pangenome"
13,18,118424806.4,20,"Pangenome"
13,19,118712038.4,20,"Pangenome"
13,20,118984000,20,"Pangenome"
13,21,119206758.4,20,"Pangenome"
13,22,119293491.2,20,"Pangenome"
13,23,119521369.6,20,"Pangenome"
13,24,119620966.4,20,"Pangenome"
13,25,119804019.2,20,"Pangenome"
13,26,119916915.2,20,"Pangenome"
13,27,120004147.2,20,"Pangenome"
13,28,120209088,20,"Pangenome"
13,29,120409100.8,20,"Pangenome"
13,30,120587481.6,20,"Pangenome"
13,31,120758054.4,20,"Pangenome"
13,32,120844518.4,20,"Pangenome"
13,33,121004134.4,20,"Pangenome"
13,34,121175398.4,20,"Pangenome"
13,35,121349644.8,20,"Pangenome"
13,36,121532454.4,20,"Pangenome"
13,37,121699865.6,20,"Pangenome"
